Date,PROD_C,PROD_D,MWS,PRECIP,HUM,PRES,CLCOVER,HI,DEWP,WINDT,SNOW,UVIND,SUNH,T_MEAN
2018-02-02,1227576,27247.0,14,0.7,93,1010,46.75,0,0,-8,0.5,2,9.9,-3.5
2018-02-03,1254823,27247.0,11,1.2,91,1010,59.25,0,0,-8,1.0,1,9.9,-4.0
2018-02-04,1275001,20178.0,5,0.0,86,1018,27.875,1,0,-6,0.0,2,10.0,-2.5
2018-02-05,1291910,16909.0,6,2.8,89,1019,80.875,2,0,-5,1.9,2,6.6,-1.0
2018-02-06,1307625,15715.0,6,1.1,90,1016,80.0,3,0,-3,0.6,1,6.7,-0.5
2018-02-07,1323829,16204.0,10,1.7,93,1015,82.125,0,0,-9,1.5,1,5.0,-4.0
2018-02-08,1325785,1956.0,9,0.6,96,1019,65.125,0,0,-7,0.5,1,8.3,-4.0
2018-02-09,1328869,3084.0,5,0.0,84,1019,11.75,3,0,-7,0.0,2,10.1,-3.0
2018-02-10,1362467,33598.0,12,2.0,95,1019,77.5,0,0,-9,1.7,1,5.1,-4.0
2018-02-11,1369449,6982.0,5,4.1,98,1018,70.25,2,1,-1,0.0,2,6.7,-1.0
2018-02-12,1377750,8301.0,15,2.1,93,1020,58.375,0,0,-11,1.7,1,10.0,-3.5
2018-02-13,1386937,9187.0,8,1.6,79,1020,34.5,0,0,-6,1.3,2,10.0,-5.0
2018-02-14,1418536,31599.0,5,2.3,88,1019,55.375,2,0,-6,1.9,1,10.6,-2.5
2018-02-15,1445711,27175.0,3,5.8,98,1024,86.875,4,3,2,0.0,1,6.9,1.5
2018-02-16,1448961,3250.0,5,0.6,97,1024,61.75,8,6,4,0.0,2,6.9,5.0
2018-02-17,1465465,16504.0,11,13.5,99,1022,83.625,4,4,1,0.0,2,5.4,4.0
2018-02-18,1466793,1328.0,12,0.4,94,1022,68.125,0,0,-5,0.1,1,8.5,-1.0
2018-02-19,1477741,10948.0,7,0.0,92,1021,12.375,2,0,-5,0.0,2,10.8,-2.0
2018-02-20,1501153,23412.0,15,0.0,87,1015,31.75,1,0,-8,0.0,2,10.8,-2.0
