Date,ProdCum,ProdDaily,,
02/02/2018,1227576,,,02/02/2018
03/02/2018,1254823,27247,,03/02/2018
04/02/2018,1275001,20178,,04/02/2018
05/02/2018,1291910,16909,,05/02/2018
06/02/2018,1307625,15715,,06/02/2018
07/02/2018,1323829,16204,,07/02/2018
08/02/2018,1325785,1956,,08/02/2018
09/02/2018,1328869,3084,,09/02/2018
10/02/2018,1362467,33598,,10/02/2018
11/02/2018,1369449,6982,,11/02/2018
12/02/2018,1377750,8301,,12/02/2018
13/02/2018,1386937,9187,,13/02/2018
14/02/2018,1418536,31599,,14/02/2018
15/02/2018,1445711,27175,,15/02/2018
16/02/2018,1448961,3250,,16/02/2018
17/02/2018,1465465,16504,,17/02/2018
18/02/2018,1466793,1328,,18/02/2018
19/02/2018,1477741,10948,,19/02/2018
20/02/2018,1501153,23412,,20/02/2018
21/02/2018,1536845,35692,,21/02/2018
22/02/2018,1542813,5968,,22/02/2018
23/02/2018,1547376,4563,,23/02/2018
24/02/2018,1553463,6087,,24/02/2018
25/02/2018,1579611,26148,,25/02/2018
26/02/2018,1585900,6289,,26/02/2018
27/02/2018,1608644,22744,,27/02/2018
28/02/2018,1640451,31807,,28/02/2018
01/03/2018,1652654,12203,,01/03/2018
02/03/2018,1661964,9310,,02/03/2018
03/03/2018,1681116,19152,,03/03/2018
04/03/2018,1698019,16903,,04/03/2018
05/03/2018,1725547,27528,,05/03/2018
06/03/2018,1748456,22909,,06/03/2018
07/03/2018,1750451,1995,,07/03/2018
08/03/2018,1750451,0,,08/03/2018
09/03/2018,1750451,0,,09/03/2018
10/03/2018,1750451,0,,10/03/2018
11/03/2018,1750451,0,,11/03/2018
12/03/2018,1750451,0,,12/03/2018
13/03/2018,1750451,0,,13/03/2018
14/03/2018,1750451,0,,14/03/2018
15/03/2018,1750451,0,,15/03/2018
16/03/2018,1750964,513,,16/03/2018
17/03/2018,1781166,30202,,17/03/2018
18/03/2018,1787403,6237,,18/03/2018
19/03/2018,1808780,21377,,19/03/2018
20/03/2018,1859900,51120,,20/03/2018
21/03/2018,1863642,3742,,21/03/2018
22/03/2018,1880265,16623,,22/03/2018
23/03/2018,1930746,50481,,23/03/2018
24/03/2018,1979189,48443,,24/03/2018
25/03/2018,2026875,47686,,25/03/2018
26/03/2018,2055982,29107,,26/03/2018
27/03/2018,2081193,25211,,27/03/2018
28/03/2018,2096535,15342,,28/03/2018
29/03/2018,2112747,16212,,29/03/2018
30/03/2018,2147118,34371,,30/03/2018
31/03/2018,2161357,14239,,31/03/2018
01/04/2018,2202188,40831,,01/04/2018
02/04/2018,2249316,47128,,02/04/2018
03/04/2018,2270483,21167,,03/04/2018
04/04/2018,2302023,31540,,04/04/2018
05/04/2018,2319907,17884,,05/04/2018
06/04/2018,2346130,26223,,06/04/2018
07/04/2018,2398813,52683,,07/04/2018
08/04/2018,2434512,35699,,08/04/2018
09/04/2018,2464894,30382,,09/04/2018
10/04/2018,2484912,20018,,10/04/2018
11/04/2018,2536459,51547,,11/04/2018
12/04/2018,2564085,27626,,12/04/2018
13/04/2018,2589692,25607,,13/04/2018
14/04/2018,2620058,30366,,14/04/2018
15/04/2018,2650514,30456,,15/04/2018
16/04/2018,2685121,34607,,16/04/2018
17/04/2018,2713810,28689,,17/04/2018
18/04/2018,2766148,52338,,18/04/2018
19/04/2018,2817979,51831,,19/04/2018
20/04/2018,2869990,52011,,20/04/2018
21/04/2018,2921494,51504,,21/04/2018
22/04/2018,2973043,51549,,22/04/2018
23/04/2018,3023770,50727,,23/04/2018
24/04/2018,3060049,36279,,24/04/2018
25/04/2018,3112838,52789,,25/04/2018
26/04/2018,3154313,41475,,26/04/2018
27/04/2018,3209107,54794,,27/04/2018
28/04/2018,3264032,54925,,28/04/2018
29/04/2018,3296384,32352,,29/04/2018
30/04/2018,3330542,34158,,30/04/2018
01/05/2018,3353673,23131,,01/05/2018
02/05/2018,3385546,31873,,02/05/2018
03/05/2018,3402692,17146,,03/05/2018
04/05/2018,3407491,4799,,04/05/2018
05/05/2018,3429254,21763,,05/05/2018
06/05/2018,3480038,50784,,06/05/2018
07/05/2018,3530370,50332,,07/05/2018
08/05/2018,3576898,46528,,08/05/2018
09/05/2018,3612566,35668,,09/05/2018
10/05/2018,3657701,45135,,10/05/2018
11/05/2018,3667087,9386,,11/05/2018
12/05/2018,3715920,48833,,12/05/2018
13/05/2018,3763136,47216,,13/05/2018
14/05/2018,3769699,6563,,14/05/2018
15/05/2018,3798860,29161,,15/05/2018
16/05/2018,3821701,22841,,16/05/2018
17/05/2018,3861652,39951,,17/05/2018
18/05/2018,3903843,42191,,18/05/2018
19/05/2018,3952961,49118,,19/05/2018
20/05/2018,4007788,54827,,20/05/2018
21/05/2018,4048182,40394,,21/05/2018
22/05/2018,4097457,49275,,22/05/2018
23/05/2018,4143975,46518,,23/05/2018
24/05/2018,4167749,23774,,24/05/2018
25/05/2018,4206575,38826,,25/05/2018
26/05/2018,4251336,44761,,26/05/2018
27/05/2018,4278762,27426,,27/05/2018
28/05/2018,4304920,26158,,28/05/2018
29/05/2018,4329566,24646,,29/05/2018
30/05/2018,4367252,37686,,30/05/2018
31/05/2018,4387917,20665,,31/05/2018
01/06/2018,4424562,36645,,01/06/2018
02/06/2018,4477046,52484,,02/06/2018
03/06/2018,4523250,46204,,03/06/2018
04/06/2018,4556975,33725,,04/06/2018
05/06/2018,4588712,31737,,05/06/2018
06/06/2018,4623743,35031,,06/06/2018
07/06/2018,4649074,25331,,07/06/2018
08/06/2018,4685317,36243,,08/06/2018
09/06/2018,4732547,47230,,09/06/2018
10/06/2018,4766418,33871,,10/06/2018
11/06/2018,4808957,42539,,11/06/2018
12/06/2018,4838839,29882,,12/06/2018
13/06/2018,4866090,27251,,13/06/2018
14/06/2018,4874652,8562,,14/06/2018
