DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR
01/01/2018,2,0,14,0,2,0,12.9,93,7.25,1019,82.375,3,2,-4,119,116,122,0,1,5.1
02/01/2018,2,-1,7,-1,1,0,7.7,95,6,1023,92.25,2,1,-2,260,122,122,0,1,3.3
03/01/2018,5,2,14,5,5,2,11.2,99,3.75,1019,95.875,5,5,0,143,143,248,0,1,3.3
04/01/2018,5,4,7,3,5,4,19.9,98,2.375,1016,90.25,5,5,3,248,248,143,0,1,5.1
05/01/2018,7,3,9,4,7,3,1.4,96,7.875,1011,56.375,7,6,1,119,116,116,0,1,8.7
06/01/2018,6,1,9,0,6,1,0,90,10,1011,32.125,6,4,-1,113,113,119,0,2,6.9
07/01/2018,5,3,9,1,5,3,0,90,10,1015,56.75,5,4,0,113,122,122,0,2,3.4
08/01/2018,6,3,7,2,6,3,5.2,92,9.625,1016,63.5,7,4,2,116,116,116,0,1,6.9
09/01/2018,4,0,11,2,4,0,4.8,92,8,1018,71.125,4,2,-4,122,122,113,0,1,6.9
10/01/2018,3,1,7,-1,3,1,0.8,91,7.75,1017,51.875,4,2,-1,116,119,119,0,2,3.4
11/01/2018,3,0,10,-2,3,0,0.4,98,7.5,1019,51.625,3,1,-3,116,116,260,0,2,5.2
12/01/2018,2,-2,8,-2,2,-2,0.4,96,7.875,1024,47.375,2,0,-4,116,116,143,0,1,8.7
13/01/2018,4,-3,8,-4,4,-3,0,83,10,1025,6.125,4,1,-5,113,113,113,0,2,8.7
14/01/2018,2,-1,5,-2,2,-1,0.4,81,9,1023,60.125,3,0,-2,119,122,116,0,2,5.2
15/01/2018,4,0,15,-4,4,1,5,86,9.625,1025,53.125,4,0,-3,116,116,122,0,2,5.2
16/01/2018,4,2,9,2,4,3,9.1,96,6.75,1016,91,4,3,0,122,143,143,0,1,3.4
17/01/2018,3,-3,17,-1,-1,-3,6.4,94,6,1023,75.875,3,2,-7,116,119,119,2.5,1,5.2
18/01/2018,3,1,7,-2,3,2,3.9,92,8.5,1024,80.625,3,2,0,119,119,122,0,2,3.4
19/01/2018,3,-1,7,2,2,-1,2.9,96,7.5,1019,74.125,3,2,-1,248,116,122,0,1,6.9
20/01/2018,2,-2,12,-4,0,1,14.8,96,5.75,1020,82.375,2,2,-4,116,122,143,0,1,3.4
21/01/2018,3,1,6,1,2,3,13.9,98,4,1018,95.5,3,3,-1,248,248,143,0,1,3.5
22/01/2018,5,4,8,3,5,4,19.7,99,3.5,1020,100,5,5,3,248,248,248,0,1,3.5
23/01/2018,5,2,10,2,5,2,0.3,95,5.5,1029,53.625,5,4,0,248,116,113,0,1,8.7
24/01/2018,8,2,10,-1,8,2,0,83,10,1031,2.5,8,5,0,113,113,113,0,2,8.7
25/01/2018,7,3,12,1,7,4,0,83,10,1027,29.125,7,3,0,113,119,116,0,2,5.2
26/01/2018,2,1,7,2,2,1,10.6,97,8.125,1022,76.875,2,1,-2,122,119,143,0,2,3.5
27/01/2018,4,0,5,0,4,0,1.9,94,9.25,1037,47.625,4,3,0,119,116,116,0,1,8.7
28/01/2018,4,0,7,-2,4,0,0,87,10,1039,6.75,5,3,0,113,113,113,0,2,8.7
29/01/2018,5,0,5,-1,5,0,0,85,10,1037,3.125,8,4,1,113,113,113,0,2,8.7
30/01/2018,4,-1,6,-2,4,-1,0,93,10,1032,34.125,4,2,0,116,119,116,0,2,8.2
31/01/2018,6,0,9,-2,6,0,0,88,10,1028,17.125,6,2,-2,113,113,113,0,2,9.8
01/02/2018,2,-4,8,0,0,-4,10,96,7.125,1013,75.125,2,0,-6,122,143,143,0,2,6.6
02/02/2018,-1,-4,14,-6,-1,-4,0.7,93,8.5,1010,46.75,0,0,-8,116,116,119,0.5,2,9.9
03/02/2018,-2,-6,11,-6,-2,-6,1.2,91,8,1010,59.25,0,0,-8,116,116,116,1,1,9.9
04/02/2018,1,-5,5,-6,1,-5,0,86,10,1018,27.875,1,0,-6,113,113,116,0,2,10
05/02/2018,2,-3,6,-3,1,-3,2.8,89,7.75,1019,80.875,2,0,-5,122,119,116,1.9,2,6.6
06/02/2018,3,-2,6,-4,3,-2,1.1,90,8.375,1016,80,3,0,-3,119,122,122,0.6,1,6.7
07/02/2018,-2,-5,10,-6,-2,-5,1.7,93,6.375,1015,82.125,0,0,-9,119,119,122,1.5,1,5
08/02/2018,-2,-5,9,-6,-2,-5,0.6,96,7.375,1019,65.125,0,0,-7,119,116,143,0.5,1,8.3
09/02/2018,1,-5,5,-7,1,-5,0,84,9.875,1019,11.75,3,0,-7,113,113,113,0,2,10.1
10/02/2018,-2,-5,12,-6,-2,-5,2,95,5.625,1019,77.5,0,0,-9,143,116,143,1.7,1,5.1
11/02/2018,2,0,5,-4,2,0,4.1,98,7.625,1018,70.25,2,1,-1,116,119,248,0,2,6.7
12/02/2018,-2,-6,15,-4,-3,-6,2.1,93,5.375,1020,58.375,0,0,-11,260,116,116,1.7,1,10
13/02/2018,0,-5,8,-10,0,-4,1.6,79,9,1020,34.5,0,0,-6,113,116,122,1.3,2,10
14/02/2018,1,-4,5,-5,0,-4,2.3,88,6.375,1019,55.375,2,0,-6,143,113,116,1.9,1,10.6
15/02/2018,3,2,3,0,3,2,5.8,98,5.25,1024,86.875,4,3,2,122,248,143,0,1,6.9
16/02/2018,7,3,5,3,7,3,0.6,97,8.125,1024,61.75,8,6,4,116,119,248,0,2,6.9
17/02/2018,4,2,11,4,4,2,13.5,99,5.5,1022,83.625,4,4,1,122,248,248,0,2,5.4
18/02/2018,0,-3,12,-2,0,-3,0.4,94,6.25,1022,68.125,0,0,-5,143,119,143,0.1,1,8.5
19/02/2018,2,-4,7,-6,2,-4,0,92,10,1021,12.375,2,0,-5,113,113,116,0,2,10.8
20/02/2018,1,-4,15,-5,1,-4,0,87,10,1015,31.75,1,0,-8,119,113,116,0,2,10.8
21/02/2018,-1,-6,12,-7,-1,-6,0.2,90,8.25,1013,33.5,0,0,-10,116,116,116,0.2,1,10.8
22/02/2018,-2,-6,10,-7,-2,-6,0.3,91,9.25,1011,47.5,0,0,-9,116,122,119,0.2,2,8.5
23/02/2018,0,-5,9,-7,-1,-5,0,87,10,1010,47.75,0,0,-8,116,122,116,0,2,8.5
24/02/2018,3,-3,7,-5,3,-3,0,86,10,1012,27.125,3,0,-6,116,113,113,0,2,10.9
25/02/2018,-2,-8,13,-4,-2,-8,0.2,85,9.25,1015,32.375,0,0,-12,329,119,113,0.2,2,8.5
26/02/2018,-8,-12,14,-12,-8,-12,0.1,72,10,1015,18.375,0,0,-18,113,116,113,0,2,11
27/02/2018,-8,-12,9,-16,-9,-12,0,67,10,1015,25.375,0,0,-15,116,116,113,0,2,11
28/02/2018,-2,-7,10,-15,-3,-3,2.1,78,8,1015,52.25,0,0,-11,113,122,122,1.8,2,7
01/03/2018,3,0,9,-2,3,0,6.8,94,7.25,1007,67,4,2,-4,143,116,116,0,1,10.1
02/03/2018,2,-3,6,0,0,-3,13.6,98,8,1000,51,3,1,-5,122,248,113,0,2,8.6
03/03/2018,4,-1,6,0,2,-1,8.5,98,8.125,1003,60,4,3,-2,122,248,113,0,2,8.6
04/03/2018,7,3,11,-3,7,3,3.8,97,8.625,1004,37.75,7,4,1,113,113,143,0,2,10.1
05/03/2018,7,3,5,-1,7,3,5.6,95,8,1002,51.25,7,4,3,113,116,143,0,1,10.1
06/03/2018,5,0,6,1,4,0,4.9,95,7.5,998,75.5,5,3,-1,143,122,116,0,1,8.6
07/03/2018,4,0,8,-3,4,0,1.5,86,9.25,1010,48.625,4,0,-1,116,200,116,0,1,11.3
08/03/2018,6,1,13,-3,6,1,0,81,10,1013,13.5,6,0,-2,113,113,113,0,2,11.3
09/03/2018,9,4,13,1,9,4,0,83,10,1014,24.5,9,4,2,116,113,113,0,2,11.3
10/03/2018,11,5,15,4,10,6,4.3,91,8.75,1012,56.625,11,7,3,122,116,113,0,2,10.2
11/03/2018,9,4,10,5,6,4,3.5,90,9.625,1005,49.125,9,5,3,119,122,116,0,3,10.2
12/03/2018,6,3,9,2,6,3,5.9,91,9.125,1010,68.25,7,4,1,116,200,200,0,2,7.3
13/03/2018,5,0,7,-1,4,0,2.4,92,9.75,1015,41.125,5,2,-1,116,116,113,0,2,10.2
14/03/2018,9,2,9,-3,9,2,0,72,10,1016,33.75,9,0,0,116,116,113,0,2,10.2
15/03/2018,4,1,10,2,3,1,12.3,96,7.375,1005,63.5,4,2,0,122,143,113,0,2,7.4
