DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
01/01/2019,8,4,7,3,8,4,0,82,10,1032,17.75,8,3,3,116,116,113,0,3,8.7,météo très défavorable
02/01/2019,4,-1,16,1,4,-1,0,71,10,1033,0,4,0,-5,113,113,113,0,2,8.7,météo très défavorable
03/01/2019,3,0,12,-2,2,1,0,63,10,1033,0.5,3,0,-4,113,113,113,0,2,8.7,météo très défavorable
04/01/2019,3,-1,8,-2,2,1,0,62,10,1034,14.75,3,0,-3,116,116,116,0,2,8.7,météo très défavorable
05/01/2019,0,-2,13,-2,-1,-2,0,82,10,1033,12.375,0,0,-7,116,116,116,0,2,8.7,météo très défavorable
06/01/2019,3,1,13,0,3,2,0,89,10,1031,23.75,3,0,-2,116,116,116,0,2,8.7,météo très défavorable
07/01/2019,3,1,9,0,3,1,0,89,10,1032,19.625,3,0,-1,116,116,116,0,2,8.7,météo très défavorable
08/01/2019,5,3,11,0,5,3,0.2,93,8.375,1032,58.375,5,2,0,116,116,176,0,2,3.4,météo très défavorable
09/01/2019,2,-1,15,0,1,-1,7.3,90,6.25,1020,74.75,2,1,-5,329,338,335,5.8,1,3.4,météo très défavorable
10/01/2019,0,-1,12,-2,0,-1,1.2,77,8.375,1022,61.375,0,0,-5,338,323,116,0.7,1,6.9,météo très défavorable
11/01/2019,-3,-5,10,-3,-3,-5,0,74,10,1027,17,0,0,-8,116,116,116,0,2,8.7,météo très défavorable
12/01/2019,3,0,11,-2,3,1,0,89,10,1027,28.125,3,0,-3,116,116,116,0,2,8.7,météo très défavorable
13/01/2019,6,4,10,3,6,5,4.1,93,8.375,1023,65.875,6,4,2,263,116,176,0,2,5.2,météo très défavorable
14/01/2019,6,3,12,5,6,3,23.9,96,8.75,1021,75.75,6,4,0,302,353,176,0,2,5.2,météo très défavorable
15/01/2019,6,3,8,1,6,5,0,71,10,1023,2.25,6,0,1,116,116,116,0,2,8.7,météo très défavorable
16/01/2019,9,5,8,3,9,6,0,67,10,1022,5.875,9,0,4,116,116,116,0,3,8.7,météo très défavorable
17/01/2019,6,2,7,4,6,2,6.1,94,9.375,1018,48.375,6,3,1,116,116,296,0,3,5.2,météo très défavorable
18/01/2019,2,1,9,0,2,1,0.2,87,9.625,1018,41.125,2,0,-2,323,116,323,0,1,8.7,météo très défavorable
19/01/2019,6,2,6,0,5,3,0,74,10,1018,22.25,6,0,1,116,116,116,0,2,8.7,météo très défavorable
20/01/2019,7,3,5,0,6,4,0,74,10,1016,21,7,0,1,116,116,116,0,2,8.7,météo très défavorable
21/01/2019,3,0,8,-1,3,0,0,87,10,1019,36.25,3,0,-2,116,116,116,0,2,8.7,météo très défavorable
22/01/2019,3,1,4,-2,3,2,0,68,10,1018,25.625,3,0,0,116,116,116,0,2,8.7,météo très défavorable
23/01/2019,1,-3,9,-1,1,-3,9.6,94,7,1004,78.25,1,0,-7,119,119,338,8.1,2,3.5,météo très défavorable
24/01/2019,-2,-3,13,-3,-2,-3,1.7,81,7.375,1012,62,0,0,-7,332,116,323,1.4,1,7,météo très défavorable
25/01/2019,0,-4,14,-5,-1,-2,0.1,65,9.625,1018,20.625,0,0,-8,116,116,116,0.1,1,8.7,météo très défavorable
26/01/2019,7,2,9,-1,6,3,0,80,10,1019,32.75,7,2,0,116,116,116,0,2,8.7,météo très défavorable
27/01/2019,7,3,12,3,7,3,16.4,91,8.25,1011,73.625,7,2,1,116,293,353,0,2,3.5,météo très défavorable
28/01/2019,1,-1,12,-2,1,0,12.9,88,6.125,1009,70,1,0,-4,338,116,179,10.5,1,7,météo très défavorable
29/01/2019,4,-1,10,-2,3,2,0.9,81,7.625,1012,66.25,4,0,-2,371,116,119,0.5,1,5.2,météo très défavorable
30/01/2019,1,-2,7,1,1,-2,13.1,91,5.375,1005,68.25,1,0,-3,335,338,116,11.1,1,8.2,météo très défavorable
31/01/2019,7,2,10,0,6,5,2.8,78,7,1004,59.375,7,2,0,338,116,176,1.7,2,9.8,météo très défavorable
01/02/2019,6,5,8,5,6,5,40.5,94,6.625,998,81.75,6,5,4,302,299,302,0,2,4.9,météo très défavorable
02/02/2019,5,2,8,2,5,2,16.2,96,6.625,1002,82.375,5,2,-1,176,119,143,3.7,1,4.9,météo très défavorable
03/02/2019,0,-1,15,0,0,-1,20.5,94,2.25,1021,97.125,0,0,-5,338,338,338,17.4,1,5,météo très défavorable
04/02/2019,4,-1,5,-4,4,1,0.4,83,9.125,1028,27.625,4,0,-3,116,116,116,0.3,1,9.9,météo très défavorable
05/02/2019,4,2,6,2,4,2,0,79,12.5,1028,19.625,4,0,1,116,113,113,0,2,10,météo très défavorable
06/02/2019,8,3,5,2,8,3,0,75,10,1028,4.375,8,1,3,116,113,116,0,3,10,météo très défavorable
07/02/2019,8,6,6,3,8,6,0.5,91,9.375,1026,49.25,8,4,5,116,116,263,0,3,10,météo très défavorable
08/02/2019,10,5,6,3,9,9,0,81,10,1024,33.625,11,5,5,116,116,116,0,2,10.1,météo très défavorable
09/02/2019,13,8,7,5,13,11,0,75,17.5,1022,14.125,13,6,8,116,116,116,0,4,10.1,météo correcte
10/02/2019,10,7,13,6,10,7,6.9,82,12.25,1020,66.75,10,4,5,119,119,293,0,3,5.1,météo défavorable
11/02/2019,3,1,9,1,2,1,16.3,90,9.375,1029,78.625,3,1,-2,371,371,338,9.3,1,5.1,météo très défavorable
12/02/2019,5,2,12,0,5,2,0,72,12.125,1033,7.25,5,0,0,116,116,116,0,2,10.6,météo très défavorable
13/02/2019,11,7,5,2,11,9,0,56,12.5,1036,4,11,0,6,116,113,113,0,3,10.6,météo défavorable
14/02/2019,14,8,5,4,13,13,0,53,13.75,1037,6.75,15,1,7,116,116,116,0,4,10.6,météo correcte
